condition,class,kind,tp,fp,fn
normal,E->E,ei,1316,4301,2157
normal,E->I,ei,167,344,235
normal,I->E,ei,1334,1542,440
normal,I->I,ei,267,188,115
normal,E2->E2,pop_pair,139,554,273
normal,E2->E5,pop_pair,93,224,115
normal,E2->I2,pop_pair,76,210,140
normal,E5->E2,pop_pair,190,333,164
normal,E5->E5,pop_pair,894,3190,1605
normal,E5->I2,pop_pair,91,134,95
normal,I2->E2,pop_pair,554,516,127
normal,I2->E5,pop_pair,780,1026,313
normal,I2->I2,pop_pair,267,188,115
mauve,E->E,ei,3650,2484,2049
mauve,E->I,ei,63,62,410
mauve,I->E,ei,4,112,698
mauve,I->I,ei,31,233,244
mauve,E2->E2,pop_pair,227,262,230
mauve,E2->E5,pop_pair,561,274,190
mauve,E2->I2,pop_pair,24,30,201
mauve,E5->E2,pop_pair,561,269,185
mauve,E5->E5,pop_pair,2301,1679,1444
mauve,E5->I2,pop_pair,39,32,209
mauve,I2->E2,pop_pair,3,78,527
mauve,I2->E5,pop_pair,1,34,171
mauve,I2->I2,pop_pair,31,233,244
