condition,neuron,population,rate_hz,tp_pre,fp_pre,tp_post,fp_post,predicted_out
normal,0,E2,1.6789,6,26,10,26,32
normal,1,E2,1.6856,8,18,17,17,26
normal,2,E2,1.64,4,18,13,25,22
normal,3,E2,1.3856,5,20,13,18,25
normal,4,E2,1.7122,6,17,12,22,23
normal,5,E2,1.5211,5,20,17,19,25
normal,6,E2,1.4889,5,8,14,19,13
normal,7,E2,1.4511,3,13,11,24,16
normal,8,E2,1.5278,8,15,14,27,23
normal,9,E2,1.5344,9,14,8,29,23
normal,10,E2,1.6489,4,29,14,24,33
normal,11,E2,1.5344,5,7,12,20,12
normal,12,E2,1.5178,3,14,15,15,17
normal,13,E2,1.4711,8,13,12,25,21
normal,14,E2,1.5033,9,33,8,24,42
normal,15,E2,1.6211,6,17,17,14,23
normal,16,E2,1.6178,7,11,14,23,18
normal,17,E2,1.4989,12,8,19,20,20
normal,18,E2,1.4556,7,9,17,29,16
normal,19,E2,1.5711,3,10,9,27,13
normal,20,E2,1.2856,4,18,15,15,22
normal,21,E2,1.5267,2,14,12,19,16
normal,22,E2,1.4678,7,17,15,23,24
normal,23,E2,1.53,4,18,16,22,22
normal,24,E2,1.3767,7,18,18,20,25
normal,25,E2,1.6433,4,14,15,17,18
normal,26,E2,1.6833,2,11,12,28,13
normal,27,E2,1.55,4,12,14,26,16
normal,28,E2,1.8611,10,21,9,27,31
normal,29,E2,1.5867,3,14,8,28,17
normal,30,E2,1.4667,5,22,13,22,27
normal,31,E2,1.4456,8,14,15,13,22
normal,32,E2,1.5444,3,8,11,25,11
normal,33,E2,1.5656,3,18,17,21,21
normal,34,E2,1.4633,3,22,17,20,25
normal,35,E2,1.8922,6,20,11,20,26
normal,36,E2,1.6356,3,10,7,30,13
normal,37,E2,1.6178,4,23,21,17,27
normal,38,E2,1.3378,4,2,8,18,6
normal,39,E2,1.2756,1,6,15,10,7
normal,40,E2,1.7033,4,22,15,23,26
normal,41,E2,1.5656,6,16,9,14,22
normal,42,E2,1.7389,10,14,15,24,24
normal,43,E2,1.2989,1,8,13,21,9
normal,44,E2,1.8078,3,12,13,24,15
normal,45,E2,1.5544,4,8,11,23,12
normal,46,E2,1.5811,7,11,16,19,18
normal,47,E2,1.4822,1,20,13,28,21
normal,48,E2,1.54,2,13,15,14,15
normal,49,E2,1.4989,10,29,12,28,39
normal,50,E2,1.4667,4,8,20,16,12
normal,51,E2,1.4611,2,23,14,19,25
normal,52,E2,1.5911,4,15,20,16,19
normal,53,E2,1.5989,5,15,9,14,20
normal,54,E2,1.5756,1,13,20,15,14
normal,55,E2,1.5389,3,7,14,16,10
normal,56,E2,1.6833,4,19,10,27,23
normal,57,E2,1.47,5,15,18,23,20
normal,58,E2,1.5933,2,12,9,31,14
normal,59,E2,1.4978,2,21,12,26,23
normal,60,E2,1.4822,3,13,14,24,16
normal,61,E2,1.4767,5,11,12,21,16
normal,62,E2,1.6067,1,17,11,23,18
normal,63,E2,1.63,6,16,18,21,22
normal,64,E2,1.3233,3,8,15,25,11
normal,65,I2,6.8022,53,57,17,20,110
normal,66,I2,6.6522,54,49,12,21,103
normal,67,I2,6.5733,41,55,16,16,96
normal,68,I2,6.1844,52,39,20,15,91
normal,69,I2,6.5467,45,41,16,18,86
normal,70,I2,6.1856,52,42,18,20,94
normal,71,I2,6.6478,55,63,14,15,118
normal,72,I2,7.1978,52,58,15,12,110
normal,73,I2,6.6156,53,46,17,10,99
normal,74,I2,6.7789,47,63,11,21,110
normal,75,I2,6.3022,39,46,15,16,85
normal,76,I2,6.9689,60,52,10,19,112
normal,77,I2,6.9722,56,65,16,18,121
normal,78,I2,6.6222,41,49,9,16,90
normal,79,I2,6.3556,38,53,7,16,91
normal,80,I2,6.7622,43,57,9,14,100
normal,81,I2,6.4944,51,47,14,15,98
normal,82,I2,6.7222,60,50,12,15,110
normal,83,I2,5.9078,46,53,19,17,99
normal,84,I2,6.9978,63,60,16,16,123
normal,85,I2,6.76,45,57,13,14,102
normal,86,I2,6.3478,50,52,9,16,102
normal,87,I2,6.8767,58,47,13,18,105
normal,88,I2,6.2867,46,55,14,26,101
normal,89,I2,6.33,46,48,15,14,94
normal,90,I2,6.3722,41,49,15,14,90
normal,91,I2,7.1878,53,65,14,13,118
normal,92,I2,6.3733,50,62,18,14,112
normal,93,I2,6.4056,47,65,10,21,112
normal,94,I2,7.2711,60,65,9,20,125
normal,95,I2,6.74,47,63,8,15,110
normal,96,I2,6.9289,57,57,13,17,114
normal,97,E5,1.5689,11,25,15,17,36
normal,98,E5,1.5067,1,17,7,24,18
normal,99,E5,1.6733,10,18,8,19,28
normal,100,E5,1.5367,10,19,11,19,29
normal,101,E5,1.57,5,12,7,27,17
normal,102,E5,1.5733,8,20,9,21,28
normal,103,E5,1.3344,2,12,3,29,14
normal,104,E5,1.6722,9,16,7,21,25
normal,105,E5,1.6589,8,15,4,16,23
normal,106,E5,1.7367,8,24,6,24,32
normal,107,E5,1.6033,4,24,11,20,28
normal,108,E5,1.4867,6,12,10,19,18
normal,109,E5,1.4478,6,13,8,26,19
normal,110,E5,1.5256,5,12,7,23,17
normal,111,E5,1.5722,4,19,10,28,23
normal,112,E5,1.3856,4,17,5,24,21
normal,113,E5,1.4611,8,19,8,25,27
normal,114,E5,1.5567,11,24,6,21,35
normal,115,E5,1.5467,9,26,8,16,35
normal,116,E5,1.7689,8,16,9,27,24
normal,117,E5,1.5233,11,20,3,26,31
normal,118,E5,1.5067,9,19,12,23,28
normal,119,E5,1.4289,7,25,15,16,32
normal,120,E5,1.5089,2,20,8,13,22
normal,121,E5,1.6811,11,21,14,21,32
normal,122,E5,1.4744,5,12,12,20,17
normal,123,E5,1.3667,1,9,8,15,10
normal,124,E5,1.82,11,23,13,26,34
normal,125,E5,1.49,6,17,11,19,23
normal,126,E5,1.6622,5,18,7,24,23
normal,127,E5,1.5733,4,18,8,19,22
normal,128,E5,1.5556,5,18,6,26,23
normal,129,E5,1.5522,8,13,10,20,21
normal,130,E5,1.5078,6,18,4,29,24
normal,131,E5,1.4944,5,15,6,16,20
normal,132,E5,1.6578,5,16,4,17,21
normal,133,E5,1.5011,5,12,6,18,17
normal,134,E5,1.4244,5,23,9,19,28
normal,135,E5,1.4533,9,23,4,26,32
normal,136,E5,1.6967,7,29,8,22,36
normal,137,E5,1.43,3,9,13,21,12
normal,138,E5,1.6922,4,19,7,18,23
normal,139,E5,1.6567,8,17,8,30,25
normal,140,E5,1.4567,4,14,15,17,18
normal,141,E5,1.4889,3,15,6,18,18
normal,142,E5,1.5189,9,19,11,13,28
normal,143,E5,1.69,7,13,13,19,20
normal,144,E5,1.2356,5,20,9,26,25
normal,145,E5,1.6089,2,15,9,23,17
normal,146,E5,1.4822,8,13,10,25,21
normal,147,E5,1.4244,2,16,7,25,18
normal,148,E5,1.4978,7,19,10,21,26
normal,149,E5,1.61,3,15,7,20,18
normal,150,E5,1.44,1,8,8,21,9
normal,151,E5,1.5678,4,19,11,15,23
normal,152,E5,1.6078,5,22,6,18,27
normal,153,E5,1.57,5,16,8,25,21
normal,154,E5,1.3233,1,17,10,25,18
normal,155,E5,1.41,7,19,10,25,26
normal,156,E5,1.6811,4,11,10,14,15
normal,157,E5,1.39,6,21,11,23,27
normal,158,E5,1.3089,4,19,10,23,23
normal,159,E5,1.5822,8,20,8,23,28
normal,160,E5,1.4222,4,16,6,21,20
normal,161,E5,1.5878,6,22,6,23,28
normal,162,E5,1.4978,6,15,9,19,21
normal,163,E5,1.5022,15,40,7,16,55
normal,164,E5,1.7356,12,33,6,8,45
normal,165,E5,1.7733,2,18,8,20,20
normal,166,E5,1.5733,5,8,13,20,13
normal,167,E5,1.6833,8,21,6,23,29
