label,gK_exc,gK_inh,iext_exc,iext_inh,iext_sigma,noise_rate,noise_weight,exc_weight_scale,inh_weight_scale,tau_k,num_clusters,seed,N,burn_in_ms,main_ms,exc_rate_hz,inh_rate_hz,mean_participation,pop_cv,peak_freq_hz,band_power_frac_1_5Hz,participation_bimodality,sync_S,ko_base_exc,ko_base_inh,ko_drift_exc,ko_drift_inh,ko_flag,figure
iE3_iI0_nr6_sig2,15.0,10.0,3.0,0.0,2.0,6.0,0.0015,2.0,2.5,200.0,20,1,396,500.0,3000.0,27.989,0.116,0.0941,0.21,0.781,0.1125,0.454,0.0077,nan,3.276,nan,0.0045,0,run_iE3_iI0_nr6_sig2.png
iE3_iI0_nr9_sig2,15.0,10.0,3.0,0.0,2.0,9.0,0.0015,2.0,2.5,200.0,20,1,396,500.0,3000.0,28.359,0.0,0.0956,0.202,1.172,0.337,0.372,0.0071,nan,3.277,nan,0.0041,0,run_iE3_iI0_nr9_sig2.png
iE3_iI0_nr4_sig2,15.0,10.0,3.0,0.0,2.0,4.0,0.0015,2.0,2.5,200.0,20,1,396,500.0,3000.0,29.268,0.0,0.0986,0.231,1.953,0.1848,0.383,0.0101,nan,3.277,nan,0.0052,0,run_iE3_iI0_nr4_sig2.png
iE2_iI0_nr2_sig2,15.0,10.0,2.0,0.0,2.0,2.0,0.0015,2.0,2.5,200.0,20,1,396,500.0,3000.0,17.184,0.004,0.0606,0.22,5.469,0.2349,0.344,0.0056,nan,3.281,nan,0.0041,0,run_iE2_iI0_nr2_sig2.png
iE2_iI0_nr6_sig2,15.0,10.0,2.0,0.0,2.0,6.0,0.0015,2.0,2.5,200.0,20,1,396,500.0,3000.0,18.033,0.009,0.0627,0.198,2.734,0.202,0.37,0.0041,nan,3.281,nan,0.0037,0,run_iE2_iI0_nr6_sig2.png
iE2_iI0_nr9_sig2,15.0,10.0,2.0,0.0,2.0,9.0,0.0015,2.0,2.5,200.0,20,1,396,500.0,3000.0,16.792,0.013,0.0586,0.25,2.344,0.2782,0.376,0.0066,nan,3.281,nan,0.004,0,run_iE2_iI0_nr9_sig2.png
iE1_iI0_nr9_sig2,15.0,10.0,1.0,0.0,2.0,9.0,0.0015,2.0,2.5,200.0,20,1,396,500.0,3000.0,13.101,0.0,0.0513,0.223,4.297,0.1457,0.346,0.006,nan,3.282,nan,0.004,0,run_iE1_iI0_nr9_sig2.png
iE3_iI0_nr2_sig2,15.0,10.0,3.0,0.0,2.0,2.0,0.0015,2.0,2.5,200.0,20,1,396,500.0,3000.0,28.618,0.0,0.0973,0.221,0.781,0.1542,0.411,0.0093,nan,3.277,nan,0.0052,0,run_iE3_iI0_nr2_sig2.png
iE1_iI0_nr4_sig2,15.0,10.0,1.0,0.0,2.0,4.0,0.0015,2.0,2.5,200.0,20,1,396,500.0,3000.0,12.603,0.0,0.0498,0.193,4.297,0.267,0.363,0.0046,nan,3.282,nan,0.0036,0,run_iE1_iI0_nr4_sig2.png
iE2_iI0_nr4_sig2,15.0,10.0,2.0,0.0,2.0,4.0,0.0015,2.0,2.5,200.0,20,1,396,500.0,3000.0,16.162,0.004,0.0565,0.219,3.516,0.3441,0.356,0.0045,nan,3.282,nan,0.0041,0,run_iE2_iI0_nr4_sig2.png
iE1_iI0_nr6_sig2,15.0,10.0,1.0,0.0,2.0,6.0,0.0015,2.0,2.5,200.0,20,1,396,500.0,3000.0,13.082,0.0,0.0507,0.205,0.781,0.2252,0.336,0.0049,nan,3.282,nan,0.004,0,run_iE1_iI0_nr6_sig2.png
iE1_iI0_nr2_sig2,15.0,10.0,1.0,0.0,2.0,2.0,0.0015,2.0,2.5,200.0,20,1,396,500.0,3000.0,13.125,0.0,0.0514,0.182,3.516,0.2513,0.377,0.0041,nan,3.282,nan,0.0038,0,run_iE1_iI0_nr2_sig2.png
