metric,homogeneous,heterogeneous,heterogeneous+afterdischarge
rate,0.05,0.05,0.05
fano,27.421138763427734,36.006465911865234,36.83487319946289
burst_per_min,3.0,3.0,3.0
frac_in_burst,1.0,1.0,1.0
exc_auc,0.6388917340865174,0.6407908972812639,0.6528698092535401
exc_ap,0.091164721084276,0.07683933397377553,0.0900136335452102
inh_auc,0.5393203527024513,0.5202305977217089,0.5385084676722984
inh_ap,0.006458768878991508,0.005466959877519774,0.007876713539599936
type_auc,0.6426024840723341,0.6555505502284575,0.6776176073106377
all_TP,28,25,23
all_FP,1,1,2
all_FN,11084,11087,11089
all_F1,0.005026478772103042,0.00448913629017777,0.004130376223399479
exc_realized_fdr,0.03448275862068961,0.038461538461538436,0.0
inh_realized_fdr,1.0,1.0,1.0
