variant,table,thr,n_pred,TP,FP,FN,precision,recall,f1,estimated_fdr,realized_fdr,exc_auc,exc_ap,inh_auc,inh_ap
sign,separated_exc,0.0172434,11217,10444,773,1240,0.931087,0.893872,0.9121,0.699953,0.0689133,0.999346,0.97007,0.960303,0.458565
sign,separated_inh,inf,0,0,0,1672,0,0,0,nan,0,0.999346,0.97007,0.960303,0.458565
sign,combined_all_edge,0.0172434,11217,10444,773,2912,0.931087,0.781971,0.850039,0.699953,0.0689133,0.999346,0.97007,0.960303,0.458565
rank@0.15,separated_exc,0.0172434,11217,10444,773,1240,0.931087,0.893872,0.9121,0.699953,0.0689133,0.999346,0.97007,0.960303,0.458565
rank@0.15,separated_inh,0.00580159,1443,636,807,1036,0.440748,0.380383,0.408347,0.699844,0.559252,0.999346,0.97007,0.960303,0.458565
rank@0.15,combined_all_edge,0.0172434,12660,11080,1580,2276,0.875197,0.82959,0.851784,0.699953,0.124803,0.999346,0.97007,0.960303,0.458565
rank@0.20,separated_exc,0.0172434,11217,10444,773,1240,0.931087,0.893872,0.9121,0.699953,0.0689133,0.999346,0.97007,0.960303,0.458565
rank@0.20,separated_inh,0.00578657,1873,822,1051,850,0.438868,0.491627,0.463752,0.699947,0.561132,0.999346,0.97007,0.960303,0.458565
rank@0.20,combined_all_edge,0.0172434,13090,11266,1824,2090,0.860657,0.843516,0.852,0.699953,0.139343,0.999346,0.97007,0.960303,0.458565
rank@0.25,separated_exc,0.0172434,11217,10444,773,1240,0.931087,0.893872,0.9121,0.699953,0.0689133,0.999346,0.97007,0.960303,0.458565
rank@0.25,separated_inh,0.00589074,2193,944,1249,728,0.430461,0.564593,0.488486,0.699612,0.569539,0.999346,0.97007,0.960303,0.458565
rank@0.25,combined_all_edge,0.0172434,13410,11388,2022,1968,0.849217,0.85265,0.85093,0.699953,0.150783,0.999346,0.97007,0.960303,0.458565
rank@0.30,separated_exc,0.0172434,11217,10444,773,1240,0.931087,0.893872,0.9121,0.699953,0.0689133,0.999346,0.97007,0.960303,0.458565
rank@0.30,separated_inh,0.00615116,2351,995,1356,677,0.423224,0.595096,0.494656,0.699224,0.576776,0.999346,0.97007,0.960303,0.458565
rank@0.30,combined_all_edge,0.0172434,13568,11439,2129,1917,0.843087,0.856469,0.849725,0.699953,0.156913,0.999346,0.97007,0.960303,0.458565
null@q0.70,separated_exc,0.0172434,11217,10444,773,1240,0.931087,0.893872,0.9121,0.699953,0.0689133,0.999346,0.97007,0.960303,0.458565
null@q0.70,separated_inh,0.00578657,1468,647,821,1025,0.440736,0.386962,0.412102,0.699166,0.559264,0.999346,0.97007,0.960303,0.458565
null@q0.70,combined_all_edge,0.0172434,12685,11091,1594,2265,0.87434,0.830413,0.851811,0.699953,0.12566,0.999346,0.97007,0.960303,0.458565
