variant,table,thr,n_pred,TP,FP,FN,precision,recall,f1,estimated_fdr,realized_fdr,exc_auc,exc_ap,inh_auc,inh_ap
sign,separated_exc,0.0194589,10822,9816,1006,1868,0.907041,0.840123,0.872301,0.699824,0.0929588,0.997667,0.937569,0.920915,0.268851
sign,separated_inh,0.00826531,57,11,46,1661,0.192982,0.00657895,0.0127241,0.675439,0.807018,0.997667,0.937569,0.920915,0.268851
sign,combined_all_edge,0.0194589,10879,9827,1052,3529,0.9033,0.735774,0.810976,0.699824,0.0967001,0.997667,0.937569,0.920915,0.268851
rank@0.15,separated_exc,0.0194589,10822,9816,1006,1868,0.907041,0.840123,0.872301,0.699824,0.0929588,0.997667,0.937569,0.920915,0.268851
rank@0.15,separated_inh,0.00871637,1003,473,530,1199,0.471585,0.282895,0.353645,0.699277,0.528415,0.997667,0.937569,0.920915,0.268851
rank@0.15,combined_all_edge,0.0194589,11825,10289,1536,3067,0.870106,0.770365,0.817203,0.699824,0.129894,0.997667,0.937569,0.920915,0.268851
rank@0.20,separated_exc,0.0194589,10822,9816,1006,1868,0.907041,0.840123,0.872301,0.699824,0.0929588,0.997667,0.937569,0.920915,0.268851
rank@0.20,separated_inh,0.00897027,1188,550,638,1122,0.462963,0.328947,0.384615,0.698969,0.537037,0.997667,0.937569,0.920915,0.268851
rank@0.20,combined_all_edge,0.0194589,12010,10366,1644,2990,0.863114,0.776131,0.817315,0.699824,0.136886,0.997667,0.937569,0.920915,0.268851
rank@0.25,separated_exc,0.0194589,10822,9816,1006,1868,0.907041,0.840123,0.872301,0.699824,0.0929588,0.997667,0.937569,0.920915,0.268851
rank@0.25,separated_inh,0.00957561,1202,601,601,1071,0.5,0.35945,0.418232,0.699563,0.5,0.997667,0.937569,0.920915,0.268851
rank@0.25,combined_all_edge,0.0194589,12024,10417,1607,2939,0.866351,0.779949,0.820883,0.699824,0.133649,0.997667,0.937569,0.920915,0.268851
rank@0.30,separated_exc,0.0194589,10822,9816,1006,1868,0.907041,0.840123,0.872301,0.699824,0.0929588,0.997667,0.937569,0.920915,0.268851
rank@0.30,separated_inh,0.00990909,1285,643,642,1029,0.500389,0.384569,0.4349,0.699319,0.499611,0.997667,0.937569,0.920915,0.268851
rank@0.30,combined_all_edge,0.0194589,12107,10459,1648,2897,0.86388,0.783094,0.821506,0.699824,0.13612,0.997667,0.937569,0.920915,0.268851
null@q0.70,separated_exc,0.0194589,10822,9816,1006,1868,0.907041,0.840123,0.872301,0.699824,0.0929588,0.997667,0.937569,0.920915,0.268851
null@q0.70,separated_inh,0.00849487,805,351,454,1321,0.436025,0.209928,0.283407,0.699068,0.563975,0.997667,0.937569,0.920915,0.268851
null@q0.70,combined_all_edge,0.0194589,11627,10167,1460,3189,0.87443,0.761231,0.813913,0.699824,0.12557,0.997667,0.937569,0.920915,0.268851
