variant,table,thr,n_pred,TP,FP,FN,precision,recall,f1,estimated_fdr,realized_fdr,exc_auc,exc_ap,inh_auc,inh_ap
sign,separated_exc,0.0173917,25667,10101,15566,1583,0.39354,0.864516,0.540869,0.699892,0.60646,0.954271,0.819906,0.921395,0.686395
sign,separated_inh,0.00789515,4611,216,4395,1456,0.0468445,0.129187,0.068757,0.699957,0.953155,0.954271,0.819906,0.921395,0.686395
sign,combined_all_edge,0.0173917,30278,10383,19895,2973,0.342922,0.777403,0.475913,0.699892,0.657078,0.954271,0.819906,0.921395,0.686395
rank@0.15,separated_exc,0.0173917,25667,10101,15566,1583,0.39354,0.864516,0.540869,0.699892,0.60646,0.954271,0.819906,0.921395,0.686395
rank@0.15,separated_inh,0.00996141,5667,851,4816,821,0.150168,0.508971,0.231912,0.699863,0.849832,0.954271,0.819906,0.921395,0.686395
rank@0.15,combined_all_edge,0.0173917,31334,11005,20329,2351,0.351216,0.823974,0.492504,0.699892,0.648784,0.954271,0.819906,0.921395,0.686395
rank@0.20,separated_exc,0.0173917,25667,10101,15566,1583,0.39354,0.864516,0.540869,0.699892,0.60646,0.954271,0.819906,0.921395,0.686395
rank@0.20,separated_inh,0.0101904,7117,948,6169,724,0.133202,0.566986,0.215724,0.699645,0.866798,0.954271,0.819906,0.921395,0.686395
rank@0.20,combined_all_edge,0.0173917,32784,11110,21674,2246,0.338885,0.831836,0.481578,0.699892,0.661115,0.954271,0.819906,0.921395,0.686395
rank@0.25,separated_exc,0.0173917,25667,10101,15566,1583,0.39354,0.864516,0.540869,0.699892,0.60646,0.954271,0.819906,0.921395,0.686395
rank@0.25,separated_inh,0.0103163,8470,1018,7452,654,0.120189,0.608852,0.200749,0.699897,0.879811,0.954271,0.819906,0.921395,0.686395
rank@0.25,combined_all_edge,0.0173917,34137,11192,22945,2164,0.327855,0.837975,0.471312,0.699892,0.672145,0.954271,0.819906,0.921395,0.686395
rank@0.30,separated_exc,0.0173917,25667,10101,15566,1583,0.39354,0.864516,0.540869,0.699892,0.60646,0.954271,0.819906,0.921395,0.686395
rank@0.30,separated_inh,0.0104622,9855,1083,8772,589,0.109893,0.647727,0.187907,0.699949,0.890107,0.954271,0.819906,0.921395,0.686395
rank@0.30,combined_all_edge,0.0173917,35522,11259,24263,2097,0.316959,0.842992,0.460698,0.699892,0.683041,0.954271,0.819906,0.921395,0.686395
null@q0.70,separated_exc,0.0173917,25667,10101,15566,1583,0.39354,0.864516,0.540869,0.699892,0.60646,0.954271,0.819906,0.921395,0.686395
null@q0.70,separated_inh,0.0103742,12275,1119,11156,553,0.0911609,0.669258,0.160465,0.699969,0.908839,0.954271,0.819906,0.921395,0.686395
null@q0.70,combined_all_edge,0.0173917,37942,11313,26629,2043,0.298166,0.847035,0.44107,0.699892,0.701834,0.954271,0.819906,0.921395,0.686395
