variant,table,thr,n_pred,TP,FP,FN,precision,recall,f1,estimated_fdr,realized_fdr,exc_auc,exc_ap,inh_auc,inh_ap
sign,separated_exc,0.0227614,21163,9512,11651,2172,0.449464,0.814105,0.57917,0.699712,0.550536,0.947926,0.780855,0.909515,0.592736
sign,separated_inh,0.0140524,2318,216,2102,1456,0.0931838,0.129187,0.108271,0.699256,0.906816,0.947926,0.780855,0.909515,0.592736
sign,combined_all_edge,0.0227614,23481,9776,13705,3580,0.416337,0.731956,0.530771,0.699712,0.583663,0.947926,0.780855,0.909515,0.592736
rank@0.15,separated_exc,0.0227614,21163,9512,11651,2172,0.449464,0.814105,0.57917,0.699712,0.550536,0.947926,0.780855,0.909515,0.592736
rank@0.15,separated_inh,0.0161646,3652,743,2909,929,0.20345,0.444378,0.279113,0.699959,0.79655,0.947926,0.780855,0.909515,0.592736
rank@0.15,combined_all_edge,0.0227614,24815,10297,14518,3059,0.414951,0.770964,0.53952,0.699712,0.585049,0.947926,0.780855,0.909515,0.592736
rank@0.20,separated_exc,0.0227614,21163,9512,11651,2172,0.449464,0.814105,0.57917,0.699712,0.550536,0.947926,0.780855,0.909515,0.592736
rank@0.20,separated_inh,0.0165678,4139,818,3321,854,0.197632,0.489234,0.281535,0.699475,0.802368,0.947926,0.780855,0.909515,0.592736
rank@0.20,combined_all_edge,0.0227614,25302,10373,14929,2983,0.409968,0.776655,0.536655,0.699712,0.590032,0.947926,0.780855,0.909515,0.592736
rank@0.25,separated_exc,0.0227614,21163,9512,11651,2172,0.449464,0.814105,0.57917,0.699712,0.550536,0.947926,0.780855,0.909515,0.592736
rank@0.25,separated_inh,0.0168847,4779,934,3845,738,0.195438,0.558612,0.289568,0.699937,0.804562,0.947926,0.780855,0.909515,0.592736
rank@0.25,combined_all_edge,0.0227614,25942,10493,15449,2863,0.404479,0.785639,0.534022,0.699712,0.595521,0.947926,0.780855,0.909515,0.592736
rank@0.30,separated_exc,0.0227614,21163,9512,11651,2172,0.449464,0.814105,0.57917,0.699712,0.550536,0.947926,0.780855,0.909515,0.592736
rank@0.30,separated_inh,0.0172927,5239,963,4276,709,0.183814,0.575957,0.278686,0.699895,0.816186,0.947926,0.780855,0.909515,0.592736
rank@0.30,combined_all_edge,0.0227614,26402,10525,15877,2831,0.398644,0.788035,0.529453,0.699712,0.601356,0.947926,0.780855,0.909515,0.592736
null@q0.70,separated_exc,0.0227614,21163,9512,11651,2172,0.449464,0.814105,0.57917,0.699712,0.550536,0.947926,0.780855,0.909515,0.592736
null@q0.70,separated_inh,0.0172839,5904,996,4908,676,0.168699,0.595694,0.262936,0.699822,0.831301,0.947926,0.780855,0.909515,0.592736
null@q0.70,combined_all_edge,0.0227614,27067,10565,16502,2791,0.390328,0.79103,0.522722,0.699712,0.609672,0.947926,0.780855,0.909515,0.592736
