n_recordings,minutes,nominal_target_fdr,realized_fdr,estimated_fdr,threshold,n_pred,TP,precision,recall,f1
10,10,0.10,0.0436847,0.0995964,0.10963,1053,1007,0.956315,0.0861862,0.158122
10,10,0.20,0.108247,0.199903,0.0982744,1552,1384,0.891753,0.118453,0.209127
10,10,0.30,0.16435,0.29928,0.0907737,2014,1683,0.83565,0.144043,0.245729
10,10,0.40,0.22315,0.398817,0.0851667,2514,1953,0.77685,0.167152,0.275109
10,10,0.50,0.273748,0.49992,0.0803004,3116,2263,0.726252,0.193684,0.305811
10,10,0.60,0.333856,0.599889,0.0758555,3828,2550,0.666144,0.218247,0.328778
10,10,0.70,0.397621,0.699306,0.0713751,4791,2886,0.602379,0.247004,0.350349
10,10,0.80,0.462917,0.799838,0.0669345,6027,3237,0.537083,0.277046,0.365536
10,10,0.90,0.545342,0.899767,0.0618669,8050,3660,0.454658,0.313249,0.370933
10,10,1.00,0.986359,1,-0.138552,856550,11684,0.0136408,1,0.0269144
20,20,0.10,0.0557366,0.0999837,0.0771959,3068,2897,0.944263,0.247946,0.39276
20,20,0.20,0.109324,0.199516,0.0692335,3979,3544,0.890676,0.303321,0.452531
20,20,0.30,0.165799,0.299807,0.0639314,4801,4005,0.834201,0.342776,0.485896
20,20,0.40,0.224841,0.399982,0.0599721,5644,4375,0.775159,0.374444,0.504963
20,20,0.50,0.292777,0.49987,0.0562761,6715,4749,0.707223,0.406453,0.516224
20,20,0.60,0.354982,0.599633,0.0530444,7899,5095,0.645018,0.436066,0.520349
20,20,0.70,0.420745,0.699743,0.0499067,9419,5456,0.579255,0.466963,0.517083
20,20,0.80,0.487066,0.799947,0.0468716,11327,5810,0.512934,0.497261,0.504976
20,20,0.90,0.562496,0.899962,0.0433908,14297,6255,0.437504,0.535347,0.481506
20,20,1.00,0.986359,1,-0.139471,856550,11684,0.0136408,1,0.0269144
30,30,0.10,0.0648352,0.1,0.0633053,4550,4255,0.935165,0.364173,0.524208
30,30,0.20,0.120351,0.199906,0.0567806,5592,4919,0.879649,0.421003,0.569461
30,30,0.30,0.186952,0.299952,0.0521191,6729,5471,0.813048,0.468247,0.594254
30,30,0.40,0.258306,0.39987,0.0486584,7886,5849,0.741694,0.500599,0.597752
30,30,0.50,0.318959,0.499959,0.0457999,9067,6175,0.681041,0.528501,0.595152
30,30,0.60,0.387711,0.599928,0.0429395,10709,6557,0.612289,0.561195,0.585629
30,30,0.70,0.453181,0.699964,0.0403416,12591,6885,0.546819,0.589267,0.56725
30,30,0.80,0.522596,0.799819,0.0376551,15180,7247,0.477404,0.62025,0.539532
30,30,0.90,0.595201,0.899902,0.0348052,18839,7626,0.404799,0.652687,0.499689
30,30,1.00,0.986359,1,-0.12497,856550,11684,0.0136408,1,0.0269144
40,40,0.10,0.0746376,0.0999642,0.0556352,5587,5170,0.925362,0.442485,0.598691
40,40,0.20,0.139326,0.199996,0.0495884,6797,5850,0.860674,0.500685,0.633083
40,40,0.30,0.206699,0.299838,0.0455566,8031,6371,0.793301,0.545276,0.64631
40,40,0.40,0.277819,0.39995,0.0423788,9409,6795,0.722181,0.581565,0.64429
40,40,0.50,0.341436,0.499988,0.0396889,10860,7152,0.658564,0.612119,0.634493
40,40,0.60,0.41176,0.599957,0.0371168,12738,7493,0.58824,0.641304,0.613627
40,40,0.70,0.485147,0.69974,0.0346256,15216,7834,0.514853,0.67049,0.582454
40,40,0.80,0.547,0.799894,0.0323932,17883,8101,0.453,0.693341,0.547976
40,40,0.90,0.617372,0.89979,0.0299331,21909,8383,0.382628,0.717477,0.499092
40,40,1.00,0.986359,1,-0.119683,856550,11684,0.0136408,1,0.0269144
50,50,0.10,0.0824099,0.0999493,0.050603,6407,5879,0.91759,0.503167,0.649936
50,50,0.20,0.151876,0.199903,0.0448536,7730,6556,0.848124,0.561109,0.675389
50,50,0.30,0.220038,0.299886,0.0411538,9003,7022,0.779962,0.600993,0.67888
50,50,0.40,0.290603,0.39995,0.0381738,10461,7421,0.709397,0.635142,0.670219
50,50,0.50,0.354855,0.499917,0.0357194,11988,7734,0.645145,0.661931,0.65343
50,50,0.60,0.421322,0.599998,0.033483,13854,8017,0.578678,0.686152,0.627849
50,50,0.70,0.486704,0.699971,0.0313458,16133,8281,0.513296,0.708747,0.595391
50,50,0.80,0.557164,0.799996,0.0290999,19409,8595,0.442836,0.735621,0.552858
50,50,0.90,0.630445,0.899951,0.0267199,24037,8883,0.369555,0.76027,0.497354
50,50,1.00,0.986359,1,-0.12596,856550,11684,0.0136408,1,0.0269144
60,60,0.10,0.0886094,0.0999747,0.0474138,6918,6305,0.911391,0.539627,0.677884
60,60,0.20,0.160646,0.199836,0.0417031,8360,7017,0.839354,0.600565,0.70016
60,60,0.30,0.231235,0.299977,0.0380551,9752,7497,0.768765,0.641647,0.699478
60,60,0.40,0.301837,0.399976,0.0352669,11271,7869,0.698163,0.673485,0.685602
60,60,0.50,0.369207,0.499885,0.0328763,12990,8194,0.630793,0.701301,0.664181
60,60,0.60,0.439058,0.599909,0.0307026,15080,8459,0.560942,0.723982,0.632118
60,60,0.70,0.506676,0.699812,0.0286245,17676,8720,0.493324,0.74632,0.594005
60,60,0.80,0.5788,0.79997,0.0264622,21358,8996,0.4212,0.769942,0.544519
60,60,0.90,0.647691,0.899915,0.0242674,26244,9246,0.352309,0.791339,0.487555
60,60,1.00,0.986359,1,-0.127031,856550,11684,0.0136408,1,0.0269144
80,80,0.10,0.0956907,0.0999219,0.0428414,7681,6946,0.904309,0.594488,0.717377
80,80,0.20,0.180175,0.199971,0.0373076,9352,7667,0.819825,0.656197,0.728941
80,80,0.30,0.256015,0.3,0.0338928,10890,8102,0.743985,0.693427,0.717817
80,80,0.40,0.32859,0.399895,0.0312574,12578,8445,0.67141,0.722783,0.69615
80,80,0.50,0.39923,0.499759,0.029009,14553,8743,0.60077,0.748288,0.666463
80,80,0.60,0.464777,0.59996,0.0270069,16793,8988,0.535223,0.769257,0.631246
80,80,0.70,0.532207,0.699921,0.025096,19654,9194,0.467793,0.786888,0.586764
80,80,0.80,0.599277,0.799963,0.0231796,23525,9427,0.400723,0.80683,0.535488
80,80,0.90,0.663932,0.899977,0.0212224,28646,9627,0.336068,0.823947,0.477411
80,80,1.00,0.986359,1,-0.129746,856550,11684,0.0136408,1,0.0269144
100,100,0.10,0.107614,0.0999425,0.0401043,8261,7372,0.892386,0.630948,0.739233
100,100,0.20,0.191299,0.199965,0.0346091,9953,8049,0.808701,0.688891,0.744003
100,100,0.30,0.269389,0.299996,0.031202,11656,8516,0.730611,0.72886,0.729734
100,100,0.40,0.341633,0.399972,0.0286912,13415,8832,0.658367,0.755906,0.703773
100,100,0.50,0.408771,0.499935,0.0265626,15368,9086,0.591229,0.777645,0.671743
100,100,0.60,0.481632,0.599897,0.0246086,17966,9313,0.518368,0.797073,0.628196
100,100,0.70,0.550536,0.699712,0.0227614,21163,9512,0.449464,0.814105,0.57917
100,100,0.80,0.618963,0.799917,0.0209049,25470,9705,0.381037,0.830623,0.52242
100,100,0.90,0.687737,0.899999,0.0189455,31656,9885,0.312263,0.846029,0.456161
100,100,1.00,0.986359,1,-0.125995,856550,11684,0.0136408,1,0.0269144
120,120,0.10,0.101807,0.0999616,0.0385128,8467,7605,0.898193,0.65089,0.754801
120,120,0.20,0.193464,0.199985,0.0329114,10312,8317,0.806536,0.711828,0.756228
120,120,0.30,0.274842,0.299965,0.0295255,12036,8728,0.725158,0.747004,0.735919
120,120,0.40,0.347911,0.399946,0.0270164,13880,9051,0.652089,0.774649,0.708105
120,120,0.50,0.420452,0.499992,0.0248932,16047,9300,0.579548,0.79596,0.67073
120,120,0.60,0.489134,0.599738,0.0230363,18590,9497,0.510866,0.812821,0.627403
120,120,0.70,0.555836,0.699937,0.0212672,21805,9685,0.444164,0.828911,0.578399
120,120,0.80,0.62387,0.799939,0.0194734,26217,9861,0.37613,0.843975,0.520356
120,120,0.90,0.69456,0.899869,0.0175501,32887,10045,0.30544,0.859723,0.450742
120,120,1.00,0.986359,1,-0.133343,856550,11684,0.0136408,1,0.0269144
140,140,0.10,0.109239,0.0999255,0.0372854,8724,7771,0.890761,0.665098,0.761564
140,140,0.20,0.200974,0.199967,0.0315412,10673,8528,0.799026,0.729887,0.762893
140,140,0.30,0.284294,0.299948,0.0281768,12473,8927,0.715706,0.764036,0.739082
140,140,0.40,0.364262,0.399924,0.0256105,14539,9243,0.635738,0.791082,0.704954
140,140,0.50,0.435353,0.499993,0.0235567,16768,9468,0.564647,0.810339,0.665542
140,140,0.60,0.503339,0.599999,0.0216911,19464,9667,0.496661,0.827371,0.620714
140,140,0.70,0.57205,0.699966,0.0199468,22977,9833,0.42795,0.841578,0.567381
140,140,0.80,0.637441,0.799982,0.0182203,27590,10003,0.362559,0.856128,0.509396
140,140,0.90,0.703343,0.899966,0.0164458,34191,10143,0.296657,0.86811,0.442202
140,140,1.00,0.986359,1,-0.132431,856550,11684,0.0136408,1,0.0269144
160,160,0.10,0.108728,0.0999774,0.0364367,8857,7894,0.891272,0.675625,0.768609
160,160,0.20,0.203804,0.199979,0.0305588,10883,8665,0.796196,0.741612,0.767935
160,160,0.30,0.295543,0.299969,0.0270507,12878,9072,0.704457,0.776446,0.738702
160,160,0.40,0.378167,0.399987,0.024494,15078,9376,0.621833,0.802465,0.700695
160,160,0.50,0.451791,0.499793,0.022427,17528,9609,0.548209,0.822407,0.65788
160,160,0.60,0.519633,0.599987,0.0206182,20399,9799,0.480367,0.838668,0.610853
160,160,0.70,0.585084,0.699959,0.0189226,23988,9953,0.414916,0.851849,0.558029
160,160,0.80,0.647024,0.799989,0.0172909,28594,10093,0.352976,0.863831,0.501167
160,160,0.90,0.710409,0.899984,0.0155662,35343,10235,0.289591,0.875984,0.435282
160,160,1.00,0.986359,1,-0.1314,856550,11684,0.0136408,1,0.0269144
180,180,0.10,0.10629,0.0999052,0.0357778,8966,8013,0.89371,0.68581,0.776077
180,180,0.20,0.212623,0.199989,0.0296979,11170,8795,0.787377,0.752739,0.769668
180,180,0.30,0.308133,0.299955,0.0261901,13267,9179,0.691867,0.785604,0.735762
180,180,0.40,0.391145,0.399989,0.0236086,15562,9475,0.608855,0.810938,0.695515
180,180,0.50,0.464524,0.5,0.0215392,18111,9698,0.535476,0.830024,0.650982
180,180,0.60,0.532757,0.599865,0.0197238,21171,9892,0.467243,0.846628,0.602161
180,180,0.70,0.591764,0.699994,0.0181548,24552,10023,0.408236,0.85784,0.553207
180,180,0.80,0.653989,0.799919,0.0165488,29395,10171,0.346011,0.870507,0.495192
180,180,0.90,0.716312,0.899995,0.0148576,36378,10320,0.283688,0.883259,0.429445
180,180,1.00,0.986359,1,-0.134785,856550,11684,0.0136408,1,0.0269144
200,200,0.10,0.110196,0.099989,0.0351869,9111,8107,0.889804,0.693855,0.779707
200,200,0.20,0.216388,0.199991,0.0290784,11313,8865,0.783612,0.75873,0.77097
200,200,0.30,0.31785,0.299989,0.0254688,13563,9252,0.68215,0.791852,0.732919
200,200,0.40,0.398843,0.399991,0.0229115,15906,9562,0.601157,0.818384,0.69315
200,200,0.50,0.473366,0.499939,0.0208385,18548,9768,0.526634,0.836015,0.646203
200,200,0.60,0.540466,0.599946,0.0190623,21648,9948,0.459534,0.851421,0.596904
200,200,0.70,0.60646,0.699892,0.0173917,25667,10101,0.39354,0.864516,0.540869
200,200,0.80,0.664813,0.799988,0.0158424,30565,10245,0.335187,0.87684,0.484982
200,200,0.90,0.72321,0.899937,0.0142309,37505,10381,0.27679,0.88848,0.422086
200,200,1.00,0.986359,1,-0.133896,856550,11684,0.0136408,1,0.0269144
