variant,table,thr,n_pred,TP,FP,FN,precision,recall,f1,estimated_fdr,realized_fdr,exc_auc,exc_ap,inh_auc,inh_ap
sign,separated_exc,0.0140059,7667,7293,374,929,0.95122,0.88701,0.917994,0.699866,0.0487805,0.999613,0.979204,0.941668,0.321174
sign,separated_inh,inf,0,0,0,1420,0,0,0,nan,0,0.999613,0.979204,0.941668,0.321174
sign,combined_all_edge,0.0140059,7667,7293,374,2349,0.95122,0.756378,0.842683,0.699866,0.0487805,0.999613,0.979204,0.941668,0.321174
rank@0.15,separated_exc,0.0140059,7667,7293,374,929,0.95122,0.88701,0.917994,0.699866,0.0487805,0.999613,0.979204,0.941668,0.321174
rank@0.15,separated_inh,0.0034642,1757,527,1230,893,0.299943,0.371127,0.33176,0.699915,0.700057,0.999613,0.979204,0.941668,0.321174
rank@0.15,combined_all_edge,0.0140059,9424,7820,1604,1822,0.829796,0.811035,0.820308,0.699866,0.170204,0.999613,0.979204,0.941668,0.321174
rank@0.20,separated_exc,0.0140059,7667,7293,374,929,0.95122,0.88701,0.917994,0.699866,0.0487805,0.999613,0.979204,0.941668,0.321174
rank@0.20,separated_inh,0.00366016,1872,578,1294,842,0.308761,0.407042,0.351154,0.699452,0.691239,0.999613,0.979204,0.941668,0.321174
rank@0.20,combined_all_edge,0.0140059,9539,7871,1668,1771,0.825139,0.816324,0.820708,0.699866,0.174861,0.999613,0.979204,0.941668,0.321174
rank@0.25,separated_exc,0.0140059,7667,7293,374,929,0.95122,0.88701,0.917994,0.699866,0.0487805,0.999613,0.979204,0.941668,0.321174
rank@0.25,separated_inh,0.003768,1977,624,1353,796,0.31563,0.439437,0.367383,0.698976,0.68437,0.999613,0.979204,0.941668,0.321174
rank@0.25,combined_all_edge,0.0140059,9644,7917,1727,1725,0.820925,0.821095,0.82101,0.699866,0.179075,0.999613,0.979204,0.941668,0.321174
rank@0.30,separated_exc,0.0140059,7667,7293,374,929,0.95122,0.88701,0.917994,0.699866,0.0487805,0.999613,0.979204,0.941668,0.321174
rank@0.30,separated_inh,0.0038474,2102,660,1442,760,0.313987,0.464789,0.374787,0.699393,0.686013,0.999613,0.979204,0.941668,0.321174
rank@0.30,combined_all_edge,0.0140059,9769,7953,1816,1689,0.814106,0.824829,0.819432,0.699866,0.185894,0.999613,0.979204,0.941668,0.321174
null@q0.70,separated_exc,0.0140059,7667,7293,374,929,0.95122,0.88701,0.917994,0.699866,0.0487805,0.999613,0.979204,0.941668,0.321174
null@q0.70,separated_inh,0.00370437,1846,577,1269,843,0.312568,0.406338,0.353337,0.699689,0.687432,0.999613,0.979204,0.941668,0.321174
null@q0.70,combined_all_edge,0.0140059,9513,7870,1643,1772,0.827289,0.816221,0.821718,0.699866,0.172711,0.999613,0.979204,0.941668,0.321174
