variant,table,thr,n_pred,TP,FP,FN,precision,recall,f1,estimated_fdr,realized_fdr,exc_auc,exc_ap,inh_auc,inh_ap
sign,separated_exc,0.015196,7416,6900,516,1322,0.930421,0.839212,0.882466,0.699552,0.0695793,0.998413,0.953103,0.88791,0.163776
sign,separated_inh,inf,0,0,0,1420,0,0,0,nan,0,0.998413,0.953103,0.88791,0.163776
sign,combined_all_edge,0.015196,7416,6900,516,2742,0.930421,0.715619,0.809005,0.699552,0.0695793,0.998413,0.953103,0.88791,0.163776
rank@0.15,separated_exc,0.015196,7416,6900,516,1322,0.930421,0.839212,0.882466,0.699552,0.0695793,0.998413,0.953103,0.88791,0.163776
rank@0.15,separated_inh,0.00549322,1096,326,770,1094,0.297445,0.229577,0.259141,0.699475,0.702555,0.998413,0.953103,0.88791,0.163776
rank@0.15,combined_all_edge,0.015196,8512,7226,1286,2416,0.848919,0.74943,0.796078,0.699552,0.151081,0.998413,0.953103,0.88791,0.163776
rank@0.20,separated_exc,0.015196,7416,6900,516,1322,0.930421,0.839212,0.882466,0.699552,0.0695793,0.998413,0.953103,0.88791,0.163776
rank@0.20,separated_inh,0.00589162,1009,349,660,1071,0.345887,0.245775,0.287361,0.699703,0.654113,0.998413,0.953103,0.88791,0.163776
rank@0.20,combined_all_edge,0.015196,8425,7249,1176,2393,0.860415,0.751815,0.802458,0.699552,0.139585,0.998413,0.953103,0.88791,0.163776
rank@0.25,separated_exc,0.015196,7416,6900,516,1322,0.930421,0.839212,0.882466,0.699552,0.0695793,0.998413,0.953103,0.88791,0.163776
rank@0.25,separated_inh,0.00611555,1016,357,659,1063,0.351378,0.251408,0.293103,0.699803,0.648622,0.998413,0.953103,0.88791,0.163776
rank@0.25,combined_all_edge,0.015196,8432,7257,1175,2385,0.86065,0.752645,0.803032,0.699552,0.13935,0.998413,0.953103,0.88791,0.163776
rank@0.30,separated_exc,0.015196,7416,6900,516,1322,0.930421,0.839212,0.882466,0.699552,0.0695793,0.998413,0.953103,0.88791,0.163776
rank@0.30,separated_inh,0.00629929,1025,359,666,1061,0.350244,0.252817,0.293661,0.699512,0.649756,0.998413,0.953103,0.88791,0.163776
rank@0.30,combined_all_edge,0.015196,8441,7259,1182,2383,0.859969,0.752852,0.802854,0.699552,0.140031,0.998413,0.953103,0.88791,0.163776
null@q0.70,separated_exc,0.015196,7416,6900,516,1322,0.930421,0.839212,0.882466,0.699552,0.0695793,0.998413,0.953103,0.88791,0.163776
null@q0.70,separated_inh,0.00585108,1017,349,668,1071,0.343166,0.245775,0.286418,0.699484,0.656834,0.998413,0.953103,0.88791,0.163776
null@q0.70,combined_all_edge,0.015196,8433,7249,1184,2393,0.859599,0.751815,0.802102,0.699552,0.140401,0.998413,0.953103,0.88791,0.163776
