n_recordings,minutes,nominal_target_fdr,realized_fdr,estimated_fdr,threshold,n_pred,TP,precision,recall,f1
10,10,0.10,0.00100604,0.0995976,0.0687434,994,993,0.998994,0.120774,0.215495
10,10,0.20,0.00712435,0.199725,0.0557439,1544,1533,0.992876,0.186451,0.313946
10,10,0.30,0.0287194,0.299553,0.0476171,2124,2063,0.971281,0.250912,0.398801
10,10,0.40,0.0750929,0.399907,0.0421036,2690,2488,0.924907,0.302603,0.456012
10,10,0.50,0.128641,0.499924,0.0379136,3296,2872,0.871359,0.349307,0.498698
10,10,0.60,0.201244,0.599904,0.0340561,4179,3338,0.798756,0.405984,0.538344
10,10,0.70,0.294339,0.699713,0.0307621,5317,3752,0.705661,0.456337,0.554251
10,10,0.80,0.40982,0.799711,0.0273518,7169,4231,0.59018,0.514595,0.549802
10,10,0.90,0.541245,0.899928,0.023784,10365,4755,0.458755,0.578326,0.511648
10,10,1.00,0.985671,0.999998,-0.0525577,573806,8222,0.0143289,1,0.0282529
20,20,0.10,0.00359454,0.0995687,0.0570562,1391,1386,0.996405,0.168572,0.28836
20,20,0.20,0.00795508,0.199988,0.0455614,2137,2120,0.992045,0.257845,0.409306
20,20,0.30,0.0209278,0.298832,0.0382222,2867,2807,0.979072,0.341401,0.506267
20,20,0.40,0.0455543,0.39987,0.0328219,3644,3478,0.954446,0.423011,0.586213
20,20,0.50,0.0808656,0.499687,0.0290051,4390,4035,0.919134,0.490757,0.639867
20,20,0.60,0.13327,0.599929,0.0259445,5245,4546,0.86673,0.552907,0.675132
20,20,0.70,0.208228,0.699901,0.0233187,6320,5004,0.791772,0.608611,0.688213
20,20,0.80,0.308764,0.79982,0.0207925,7896,5458,0.691236,0.663829,0.677255
20,20,0.90,0.430265,0.899771,0.018294,10375,5911,0.569735,0.718925,0.635694
20,20,1.00,0.985671,1,-0.0512348,573806,8222,0.0143289,1,0.0282529
30,30,0.10,0,0.0999003,0.0534795,1504,1504,1,0.182924,0.309274
30,30,0.20,0.00344382,0.199796,0.0420742,2323,2315,0.996556,0.281562,0.439071
30,30,0.30,0.0132267,0.299869,0.0341642,3251,3208,0.986773,0.390173,0.559226
30,30,0.40,0.0297965,0.399861,0.0290447,4128,4005,0.970203,0.487108,0.648583
30,30,0.50,0.0633219,0.499848,0.0253856,4943,4630,0.936678,0.563123,0.70338
30,30,0.60,0.109364,0.599862,0.0225301,5788,5155,0.890636,0.626976,0.735903
30,30,0.70,0.162836,0.699851,0.0202728,6700,5609,0.837164,0.682194,0.751776
30,30,0.80,0.227424,0.799833,0.0183039,7796,6023,0.772576,0.732547,0.752029
30,30,0.90,0.326353,0.899932,0.0162818,9551,6434,0.673647,0.782535,0.72402
30,30,1.00,0.985671,1,-0.0452361,573806,8222,0.0143289,1,0.0282529
40,40,0.10,0,0.0998342,0.0509706,1659,1659,1,0.201776,0.335796
