variant,table,thr,n_pred,TP,FP,FN,precision,recall,f1,estimated_fdr,realized_fdr,exc_auc,exc_ap,inh_auc,inh_ap
sign,separated_exc,0.0162084,16445,7483,8962,739,0.455032,0.910119,0.606722,0.699331,0.544968,0.974564,0.870914,0.929181,0.707556
sign,separated_inh,0.00559332,2412,120,2292,1300,0.0497512,0.084507,0.0626305,0.699886,0.950249,0.974564,0.870914,0.929181,0.707556
sign,combined_all_edge,0.0162084,18857,7638,11219,2004,0.405049,0.792159,0.536019,0.699331,0.594951,0.974564,0.870914,0.929181,0.707556
rank@0.15,separated_exc,0.0162084,16445,7483,8962,739,0.455032,0.910119,0.606722,0.699331,0.544968,0.974564,0.870914,0.929181,0.707556
rank@0.15,separated_inh,0.00814971,4419,827,3592,593,0.187146,0.582394,0.283268,0.699706,0.812854,0.974564,0.870914,0.929181,0.707556
rank@0.15,combined_all_edge,0.0162084,20864,8343,12521,1299,0.399875,0.865277,0.546974,0.699331,0.600125,0.974564,0.870914,0.929181,0.707556
rank@0.20,separated_exc,0.0162084,16445,7483,8962,739,0.455032,0.910119,0.606722,0.699331,0.544968,0.974564,0.870914,0.929181,0.707556
rank@0.20,separated_inh,0.00842462,4697,906,3791,514,0.192889,0.638028,0.296224,0.699968,0.807111,0.974564,0.870914,0.929181,0.707556
rank@0.20,combined_all_edge,0.0162084,21142,8420,12722,1222,0.398259,0.873263,0.547037,0.699331,0.601741,0.974564,0.870914,0.929181,0.707556
rank@0.25,separated_exc,0.0162084,16445,7483,8962,739,0.455032,0.910119,0.606722,0.699331,0.544968,0.974564,0.870914,0.929181,0.707556
rank@0.25,separated_inh,0.00858992,5060,955,4105,465,0.188735,0.672535,0.294753,0.699679,0.811265,0.974564,0.870914,0.929181,0.707556
rank@0.25,combined_all_edge,0.0162084,21505,8470,13035,1172,0.393862,0.878448,0.543873,0.699331,0.606138,0.974564,0.870914,0.929181,0.707556
rank@0.30,separated_exc,0.0162084,16445,7483,8962,739,0.455032,0.910119,0.606722,0.699331,0.544968,0.974564,0.870914,0.929181,0.707556
rank@0.30,separated_inh,0.00871669,5511,988,4523,432,0.179278,0.695775,0.285096,0.699828,0.820722,0.974564,0.870914,0.929181,0.707556
rank@0.30,combined_all_edge,0.0162084,21956,8503,13453,1139,0.387275,0.881871,0.538199,0.699331,0.612725,0.974564,0.870914,0.929181,0.707556
null@q0.70,separated_exc,0.0162084,16445,7483,8962,739,0.455032,0.910119,0.606722,0.699331,0.544968,0.974564,0.870914,0.929181,0.707556
null@q0.70,separated_inh,0.00872102,5136,978,4158,442,0.190421,0.688732,0.298353,0.699791,0.809579,0.974564,0.870914,0.929181,0.707556
null@q0.70,combined_all_edge,0.0162084,21581,8493,13088,1149,0.393541,0.880834,0.544022,0.699331,0.606459,0.974564,0.870914,0.929181,0.707556
