variant,table,thr,n_pred,TP,FP,FN,precision,recall,f1,estimated_fdr,realized_fdr,exc_auc,exc_ap,inh_auc,inh_ap
sign,separated_exc,0.0203598,14282,7180,7102,1042,0.502731,0.873267,0.638109,0.699998,0.497269,0.969783,0.843443,0.923517,0.623074
sign,separated_inh,0.0112144,1315,144,1171,1276,0.109506,0.101408,0.105302,0.7,0.890494,0.969783,0.843443,0.923517,0.623074
sign,combined_all_edge,0.0203598,15597,7346,8251,2296,0.470988,0.761875,0.582115,0.699998,0.529012,0.969783,0.843443,0.923517,0.623074
rank@0.15,separated_exc,0.0203598,14282,7180,7102,1042,0.502731,0.873267,0.638109,0.699998,0.497269,0.969783,0.843443,0.923517,0.623074
rank@0.15,separated_inh,0.0131285,2736,759,1977,661,0.277412,0.534507,0.365255,0.699744,0.722588,0.969783,0.843443,0.923517,0.623074
rank@0.15,combined_all_edge,0.0203598,17018,7961,9057,1681,0.467799,0.825659,0.597224,0.699998,0.532201,0.969783,0.843443,0.923517,0.623074
rank@0.20,separated_exc,0.0203598,14282,7180,7102,1042,0.502731,0.873267,0.638109,0.699998,0.497269,0.969783,0.843443,0.923517,0.623074
rank@0.20,separated_inh,0.0134476,2869,829,2040,591,0.288951,0.583803,0.38657,0.699721,0.711049,0.969783,0.843443,0.923517,0.623074
rank@0.20,combined_all_edge,0.0203598,17151,8031,9120,1611,0.468253,0.832918,0.599485,0.699998,0.531747,0.969783,0.843443,0.923517,0.623074
rank@0.25,separated_exc,0.0203598,14282,7180,7102,1042,0.502731,0.873267,0.638109,0.699998,0.497269,0.969783,0.843443,0.923517,0.623074
rank@0.25,separated_inh,0.0138473,2981,868,2113,552,0.291177,0.611268,0.394456,0.699136,0.708823,0.969783,0.843443,0.923517,0.623074
rank@0.25,combined_all_edge,0.0203598,17263,8070,9193,1572,0.467474,0.836963,0.599888,0.699998,0.532526,0.969783,0.843443,0.923517,0.623074
rank@0.30,separated_exc,0.0203598,14282,7180,7102,1042,0.502731,0.873267,0.638109,0.699998,0.497269,0.969783,0.843443,0.923517,0.623074
rank@0.30,separated_inh,0.0140603,3216,921,2295,499,0.286381,0.648592,0.397325,0.69885,0.713619,0.969783,0.843443,0.923517,0.623074
rank@0.30,combined_all_edge,0.0203598,17498,8124,9374,1518,0.464282,0.842564,0.598674,0.699998,0.535718,0.969783,0.843443,0.923517,0.623074
null@q0.70,separated_exc,0.0203598,14282,7180,7102,1042,0.502731,0.873267,0.638109,0.699998,0.497269,0.969783,0.843443,0.923517,0.623074
null@q0.70,separated_inh,0.0141282,2982,914,2068,506,0.306506,0.643662,0.415266,0.69995,0.693494,0.969783,0.843443,0.923517,0.623074
null@q0.70,combined_all_edge,0.0203598,17264,8116,9148,1526,0.470111,0.841734,0.603286,0.699998,0.529889,0.969783,0.843443,0.923517,0.623074
