n_recordings,minutes,nominal_target_fdr,realized_fdr,estimated_fdr,threshold,n_pred,TP,precision,recall,f1
10,10,0.10,0.0479599,0.0999463,0.0912125,1397,1330,0.95204,0.161761,0.276536
10,10,0.20,0.10148,0.199921,0.0815162,1892,1700,0.89852,0.206762,0.336168
10,10,0.30,0.144558,0.299585,0.0752982,2352,2012,0.855442,0.244709,0.380556
10,10,0.40,0.203576,0.399716,0.0699809,2908,2316,0.796424,0.281683,0.416173
10,10,0.50,0.268869,0.5,0.065557,3511,2567,0.731131,0.312211,0.437569
10,10,0.60,0.330685,0.599585,0.0613889,4279,2864,0.669315,0.348334,0.458203
10,10,0.70,0.395628,0.699507,0.0575478,5169,3124,0.604372,0.379956,0.466582
10,10,0.80,0.457805,0.799909,0.0537718,6304,3418,0.542195,0.415714,0.470604
10,10,0.90,0.52794,0.899502,0.0496227,8035,3793,0.47206,0.461323,0.46663
10,10,1.00,0.985671,1,-0.128773,573806,8222,0.0143289,1,0.0282529
20,20,0.10,0.0554435,0.0998404,0.0658314,2976,2811,0.944556,0.341888,0.502054
20,20,0.20,0.110232,0.199664,0.0581714,3792,3374,0.889768,0.410362,0.561678
20,20,0.30,0.167846,0.299867,0.0533903,4522,3763,0.832154,0.457675,0.590552
20,20,0.40,0.223451,0.39969,0.0497621,5245,4073,0.776549,0.495378,0.604886
20,20,0.50,0.28776,0.499756,0.04644,6144,4376,0.71224,0.532231,0.609216
20,20,0.60,0.347131,0.599937,0.0435859,7127,4653,0.652869,0.565921,0.606294
20,20,0.70,0.405311,0.699834,0.0408657,8285,4927,0.594689,0.599246,0.596959
20,20,0.80,0.470046,0.799859,0.038169,9765,5175,0.529954,0.629409,0.575416
20,20,0.90,0.541318,0.899799,0.035242,11956,5484,0.458682,0.666991,0.543562
20,20,1.00,0.985671,1,-0.119981,573806,8222,0.0143289,1,0.0282529
30,30,0.10,0.0588538,0.099653,0.0558595,3891,3662,0.941146,0.44539,0.60464
30,30,0.20,0.11596,0.199985,0.0487501,4881,4315,0.88404,0.524811,0.658628
30,30,0.30,0.180911,0.299891,0.0444823,5710,4677,0.819089,0.56884,0.671404
30,30,0.40,0.238579,0.399928,0.0411732,6589,5017,0.761421,0.610192,0.677469
30,30,0.50,0.297383,0.499817,0.038506,7529,5290,0.702617,0.643396,0.671703
30,30,0.60,0.355486,0.599875,0.0360504,8622,5557,0.644514,0.67587,0.65982
30,30,0.70,0.419938,0.699918,0.0336848,10011,5807,0.580062,0.706276,0.636977
30,30,0.80,0.48233,0.799858,0.0314556,11658,6035,0.51767,0.734006,0.607143
30,30,0.90,0.55005,0.899827,0.0291249,13886,6248,0.44995,0.759912,0.565225
30,30,1.00,0.985671,1,-0.112143,573806,8222,0.0143289,1,0.0282529
40,40,0.10,0.0643739,0.0995922,0.0500159,4536,4244,0.935626,0.516176,0.665308
40,40,0.20,0.126081,0.19995,0.0433904,5552,4852,0.873919,0.590124,0.704516
40,40,0.30,0.18632,0.299714,0.0394349,6462,5258,0.81368,0.639504,0.716154
40,40,0.40,0.244596,0.399626,0.0364773,7355,5556,0.755404,0.675748,0.713359
40,40,0.50,0.308148,0.499956,0.0339342,8431,5833,0.691852,0.709438,0.700534
40,40,0.60,0.368978,0.599811,0.0316613,9632,6078,0.631022,0.739236,0.680856
40,40,0.70,0.43253,0.699986,0.0296058,11042,6266,0.56747,0.762102,0.65054
