n_recordings,minutes,nominal_target_fdr,realized_fdr,estimated_fdr,threshold,n_pred,TP,precision,recall,f1
10,10,0.10,0.00813481,0.0999419,0.0775813,1721,1707,0.991865,0.146097,0.254681
10,10,0.20,0.0266721,0.199836,0.065453,2437,2372,0.973328,0.203013,0.335954
10,10,0.30,0.0557717,0.299935,0.0583689,3084,2912,0.944228,0.24923,0.394366
10,10,0.40,0.0998682,0.399769,0.0528438,3795,3416,0.900132,0.292366,0.441372
10,10,0.50,0.142097,0.499778,0.0486895,4511,3870,0.857903,0.331222,0.477925
10,10,0.60,0.202612,0.599991,0.0445449,5513,4396,0.797388,0.376241,0.511252
10,10,0.70,0.273115,0.699746,0.0408134,6803,4945,0.726885,0.423228,0.534971
10,10,0.80,0.356446,0.799932,0.0372037,8509,5476,0.643554,0.468675,0.542366
10,10,0.90,0.454733,0.899966,0.0333628,11145,6077,0.545267,0.520113,0.532393
10,10,1.00,0.986359,0.999987,-0.0613364,856550,11684,0.0136408,1,0.0269144
20,20,0.10,0.00262369,0.0997939,0.0613178,2668,2661,0.997376,0.227747,0.370819
20,20,0.20,0.0137466,0.199933,0.0511136,3710,3659,0.986253,0.313163,0.47538
20,20,0.30,0.0367374,0.299776,0.045076,4573,4405,0.963263,0.377011,0.54192
20,20,0.40,0.0652863,0.399925,0.0407294,5361,5011,0.934714,0.428877,0.587973
20,20,0.50,0.103437,0.49994,0.03724,6255,5608,0.896563,0.479973,0.62523
20,20,0.60,0.146133,0.599776,0.0343628,7151,6106,0.853867,0.522595,0.648367
20,20,0.70,0.204725,0.699763,0.0316534,8338,6631,0.795275,0.567528,0.662371
20,20,0.80,0.26974,0.799761,0.0291433,9739,7112,0.73026,0.608696,0.663959
20,20,0.90,0.360704,0.899956,0.0263587,11996,7669,0.639296,0.656368,0.64772
20,20,1.00,0.986359,0.999999,-0.0582728,856550,11684,0.0136408,1,0.0269144
30,30,0.10,0.00191205,0.0999841,0.056219,3138,3132,0.998088,0.268059,0.422615
30,30,0.20,0.00619692,0.199937,0.0460483,4357,4330,0.993803,0.370592,0.539867
30,30,0.30,0.0173225,0.299967,0.0400901,5311,5219,0.982677,0.446679,0.614181
30,30,0.40,0.0428941,0.399947,0.0359122,6178,5913,0.957106,0.506077,0.662076
30,30,0.50,0.0799608,0.499527,0.0325585,7141,6570,0.920039,0.562307,0.698008
30,30,0.60,0.121227,0.599739,0.0298755,8051,7075,0.878773,0.605529,0.717
30,30,0.70,0.167763,0.699986,0.0275312,9120,7590,0.832237,0.649606,0.729667
30,30,0.80,0.2306,0.799981,0.0253445,10464,8051,0.7694,0.689062,0.727018
30,30,0.90,0.300132,0.899891,0.023273,12128,8488,0.699868,0.726464,0.712918
30,30,1.00,0.986359,1,-0.0533219,856550,11684,0.0136408,1,0.0269144
40,40,0.10,0.00172166,0.1,0.0529664,3485,3479,0.998278,0.297758,0.458699
40,40,0.20,0.00521268,0.19975,0.0431209,4796,4771,0.994787,0.408336,0.579005
40,40,0.30,0.0150737,0.29976,0.0371967,5838,5750,0.984926,0.492126,0.656318
40,40,0.40,0.0385233,0.399861,0.032796,6853,6589,0.961477,0.563934,0.710903
40,40,0.50,0.0683959,0.5,0.0296525,7749,7219,0.931604,0.617853,0.742963
40,40,0.60,0.10554,0.599774,0.0271104,8736,7814,0.89446,0.668778,0.765328
40,40,0.70,0.148205,0.699667,0.0249956,9750,8305,0.851795,0.710801,0.774937
40,40,0.80,0.20123,0.79986,0.023109,10893,8701,0.79877,0.744694,0.770784
40,40,0.90,0.270745,0.899868,0.021185,12521,9131,0.729255,0.781496,0.754472
40,40,1.00,0.986359,1,-0.0477983,856550,11684,0.0136408,1,0.0269144
50,50,0.10,0.00108254,0.0994249,0.0511051,3695,3691,0.998917,0.315902,0.480005
50,50,0.20,0.00435989,0.199886,0.0412193,5046,5024,0.99564,0.42999,0.600598
50,50,0.30,0.0118419,0.299928,0.0349431,6249,6175,0.988158,0.528501,0.688675
50,50,0.40,0.030679,0.399697,0.0305612,7334,7109,0.969321,0.608439,0.747608
50,50,0.50,0.0527349,0.499954,0.0276601,8154,7724,0.947265,0.661075,0.778708
50,50,0.60,0.086674,0.599697,0.0252205,9080,8293,0.913326,0.709774,0.798786
50,50,0.70,0.126367,0.699903,0.0232119,10058,8787,0.873633,0.752054,0.808297
50,50,0.80,0.176772,0.799885,0.0214422,11133,9165,0.823228,0.784406,0.803348
50,50,0.90,0.24147,0.899778,0.0197092,12602,9559,0.75853,0.818127,0.787203
50,50,1.00,0.986359,1,-0.0476719,856550,11684,0.0136408,1,0.0269144
60,60,0.10,0.0015852,0.1,0.0501688,3785,3779,0.998415,0.323434,0.48859
60,60,0.20,0.00364054,0.199799,0.0401942,5219,5200,0.996359,0.445053,0.615275
60,60,0.30,0.0109248,0.2997,0.0337326,6499,6428,0.989075,0.550154,0.707034
60,60,0.40,0.0247206,0.399901,0.0293714,7605,7417,0.975279,0.6348,0.769039
60,60,0.50,0.0453421,0.499838,0.026331,8491,8106,0.954658,0.693769,0.803569
60,60,0.60,0.0821266,0.599725,0.0238912,9461,8684,0.917873,0.743239,0.821376
60,60,0.70,0.118976,0.699879,0.0219962,10355,9123,0.881024,0.780811,0.827896
60,60,0.80,0.171436,0.799948,0.0202579,11462,9497,0.828564,0.812821,0.820617
60,60,0.90,0.231559,0.899724,0.018639,12852,9876,0.768441,0.845258,0.805021
60,60,1.00,0.986359,1,-0.0496161,856550,11684,0.0136408,1,0.0269144
80,80,0.10,0.000973947,0.0999817,0.0481522,4107,4103,0.999026,0.351164,0.519663
80,80,0.20,0.00272579,0.1998,0.0388036,5503,5488,0.997274,0.469702,0.638622
80,80,0.30,0.00866551,0.299989,0.0320379,6924,6864,0.991334,0.58747,0.737747
