session,group,normal_bursts_per_rec,seizure_bursts_per_rec,normal_participation,seizure_participation,normal_duration_ms,seizure_duration_ms,normal_frac_full,seizure_frac_full,normal_n_full_per_rec,seizure_n_full_per_rec,normal_n_partial_per_rec,seizure_n_partial_per_rec
sweep_c40_seed11,c40,10.41,25.605,0.33277111304723395,0.9580069299691647,135.7036503362152,410.51650068346027,0.39241114313160425,0.9736379613356766,4.085,24.93,6.325,0.675
sweep_c40_seed12,c40,11.55,26.005,0.2888650300415006,0.9430059463310987,155.96753246753246,381.113247452413,0.30735930735930733,0.959815420111517,3.55,24.96,8.0,1.045
sweep_c40_seed13,c40,10.2,25.085,0.31866168458468086,0.9646485752305459,167.3186274509804,408.914690053817,0.3843137254901961,0.9673111421168029,3.92,24.265,6.28,0.82
sweep_c40_seed14,c40,7.96,25.535,0.9129901960784313,0.9289695078692879,155.30778894472363,504.25592324260816,0.992462311557789,0.9246132758958292,7.9,23.61,0.06,1.925
sweep_c40_seed15,c40,11.395,23.405,0.3736915524915938,0.9847614717363514,157.6919701623519,412.2121341593677,0.45107503290917067,0.988891262550737,5.14,23.145,6.255,0.26
sweep_c40_seed16,c40,8.2,28.275,0.5000316345575908,0.8761717016379568,153.21646341463415,506.47480106100795,0.6798780487804879,0.8603006189213086,5.575,24.325,2.625,3.95
sweep_c40_seed17,c40,9.985,24.355,0.6692886085280044,0.9782635852878999,173.75312969454183,549.6202011907205,0.7230846269404106,0.9804968179018682,7.22,23.88,2.765,0.475
sweep_c40_seed18,c40,11.68,25.02,0.48097782861741145,0.9555385746047971,140.96960616438355,472.4400479616307,0.6228595890410958,0.9612310151878497,7.275,24.05,4.405,0.97
sweep_c40_seed19,c40,7.91,26.175,0.8402804717938419,0.923257211883819,146.94690265486724,437.603629417383,0.9829329962073325,0.9191977077363896,7.775,24.06,0.135,2.115
sweep_c40_seed20,c40,8.63,25.7,0.5426900969148142,0.9401536269293326,152.64484356894553,446.31322957198444,0.7271147161066048,0.93715953307393,6.275,24.085,2.355,1.615
sweep_c50_seed01,c50,10.875,24.595,0.338803902584345,0.9755668174315927,126.86206896551724,413.9083146981094,0.3820689655172414,0.9804838381784916,4.155,24.115,6.72,0.48
sweep_c50_seed02,c50,7.57,26.535,0.2985634517589569,0.9013487438555042,133.62615587846764,409.4441303938195,0.333553500660502,0.9193517995100811,2.525,24.395,5.045,2.14
sweep_c50_seed03,c50,7.48,25.055,0.7162017557094082,0.9564500418827795,151.06951871657753,448.85152664138894,0.9137700534759359,0.9654759529036121,6.835,24.19,0.645,0.865
sweep_c50_seed04,c50,7.98,25.065,0.6055751492132393,0.9635082805324712,148.93170426065163,445.93556752443646,0.8577694235588973,0.9648912826650708,6.845,24.185,1.135,0.88
sweep_c50_seed05,c50,8.005,26.205,0.4182704409055477,0.9460878864889151,133.35103060587133,441.2449914138523,0.6908182386008744,0.9664186224003053,5.53,25.325,2.475,0.88
sweep_c50_seed06,c50,12.585,26.785,0.3645411400691354,0.8976325262297713,126.2554628526023,363.2396863916371,0.4259038537941994,0.8954638790367743,5.36,23.985,7.225,2.8
sweep_c50_seed07,c50,7.64,24.64,0.7734967083095744,0.9682163752089495,164.18848167539267,452.1814123376623,0.8841623036649214,0.9721996753246753,6.755,23.955,0.885,0.685
sweep_c50_seed08,c50,7.825,25.15,0.5387545707951231,0.9577231615619778,146.79233226837061,430.3011928429423,0.7552715654952077,0.962624254473161,5.91,24.21,1.915,0.94
sweep_c50_seed09,c50,10.14,25.25,0.2665927665425557,0.9435661660160795,141.64447731755425,415.8049504950495,0.2485207100591716,0.9542574257425742,2.52,24.095,7.62,1.155
sweep_c50_seed10,c50,10.24,25.17,0.5297449707581736,0.9551122267117982,163.20556640625,491.75208581644813,0.65380859375,0.9602701628923321,6.695,24.17,3.545,1.0
