session,group,n_recordings,oracle_best_f1_all_absW,achieved_f1_all_absW,gap_all_absW,oracle_best_f1_exc,achieved_f1_exc,gap_exc,achieved_f1_typed
sweep_c40_seed11,c40,200,0.844,0.8356,0.0084,0.8885,0.8825,0.0059,0.8019
sweep_c40_seed12,c40,200,0.8514,0.8286,0.0228,0.9319,0.9161,0.0158,0.7805
sweep_c40_seed13,c40,200,0.8731,0.8584,0.0147,0.9242,0.9124,0.0118,0.8173
sweep_c40_seed14,c40,200,0.7511,0.5828,0.1683,0.7888,0.6587,0.1301,0.6211
sweep_c40_seed15,c40,200,0.8589,0.85,0.0089,0.9276,0.9237,0.0039,0.828
sweep_c40_seed16,c40,200,0.8228,0.8182,0.0046,0.8848,0.881,0.0038,0.7994
sweep_c40_seed17,c40,200,0.8317,0.7863,0.0455,0.8714,0.8371,0.0343,0.7811
sweep_c40_seed18,c40,200,0.8279,0.8146,0.0133,0.8682,0.8597,0.0085,0.779
sweep_c40_seed19,c40,200,0.7608,0.6433,0.1175,0.8038,0.7199,0.0839,0.6661
sweep_c40_seed20,c40,200,0.8232,0.8136,0.0096,0.8762,0.867,0.0092,0.7915
sweep_c50_seed01,c50,200,0.8642,0.8631,0.0011,0.9123,0.9116,0.0007,0.8254
sweep_c50_seed02,c50,200,0.8485,0.8368,0.0117,0.914,0.9062,0.0077,0.8127
sweep_c50_seed03,c50,200,0.7904,0.723,0.0675,0.8428,0.7931,0.0497,0.7471
sweep_c50_seed04,c50,200,0.7829,0.7386,0.0443,0.8354,0.8102,0.0252,0.7467
sweep_c50_seed05,c50,200,0.7834,0.7773,0.0061,0.8417,0.838,0.0037,0.7665
sweep_c50_seed06,c50,200,0.8206,0.8186,0.002,0.8735,0.8726,0.0009,0.7893
sweep_c50_seed07,c50,200,0.8137,0.7553,0.0584,0.8546,0.8083,0.0463,0.7652
sweep_c50_seed08,c50,200,0.8175,0.7989,0.0185,0.8703,0.8601,0.0102,0.798
sweep_c50_seed09,c50,200,0.8516,0.8348,0.0168,0.9282,0.917,0.0112,0.7939
sweep_c50_seed10,c50,200,0.8397,0.8259,0.0138,0.8792,0.8692,0.0099,0.8102
