session,group,tp_median_distance,fp_median_distance,tp_mean_shared_input,fp_mean_shared_input,n_tp,n_fp
sweep_c40_seed11,c40,1.8204670005898835,2.955139220779228,1.747015349630472,1.8252240717029449,7036,1562
sweep_c40_seed12,c40,1.4619114692701234,5.941498674449176,1.7160672853828307,0.6746656176239182,6896,2542
sweep_c40_seed13,c40,2.0360464394803164,4.844829187285412,1.4888463117558506,1.1797323135755258,7307,1569
sweep_c40_seed14,c40,2.1969114246381776,2.9765686780413243,1.8333463247330268,1.7860233488448036,12829,12249
sweep_c40_seed15,c40,1.8274021517017736,5.192407400704271,1.72524129248846,1.0314995563442768,9532,2254
sweep_c40_seed16,c40,2.0935331800162302,2.9106510056736874,1.6355540525307182,1.9572877736252001,8871,1873
sweep_c40_seed17,c40,2.180022979013133,2.612014037102226,1.720973348783314,1.994572864321608,12945,4975
sweep_c40_seed18,c40,2.1938564122311317,2.7258887332367516,1.6582418800576433,2.0444002650762094,9021,3018
sweep_c40_seed19,c40,2.128916290502643,3.0013003607731226,1.8285791173304629,1.8217685514393853,11148,8719
sweep_c40_seed20,c40,2.1644740647069214,2.773944664514703,1.7726855159742778,2.141434262948207,9797,2510
sweep_c50_seed01,c50,2.0730480726475418,3.2187978247839,1.5293340380549683,1.4470644850818095,11352,2078
sweep_c50_seed02,c50,2.1316510035486775,4.311354486523376,1.439163006974942,1.2263751763046544,7742,1418
sweep_c50_seed03,c50,2.18330895734489,2.6959072607606847,1.5827793092265283,1.7768413955840217,12334,5933
sweep_c50_seed04,c50,2.1263899223843037,2.6942279474301207,1.6672926192031352,1.9275038653152379,12248,5821
sweep_c50_seed05,c50,2.0290602284182335,2.7823730914262743,1.6124194740732918,2.013964577656676,9469,2936
sweep_c50_seed06,c50,1.8845519438543459,2.781345417406664,1.8068371981831222,1.842608695652174,12549,3450
sweep_c50_seed07,c50,2.3514593764953338,2.834912081158723,1.6067032478125463,1.994942196531792,13486,5536
sweep_c50_seed08,c50,2.0189451137959105,2.6563350435065516,1.709369353867332,1.9891616193815747,11623,3137
sweep_c50_seed09,c50,1.7637079527675692,5.840523770441254,1.7542342769157881,0.7974917004795279,8443,2711
sweep_c50_seed10,c50,2.1579641820581577,2.6895800475933465,1.6611577711550618,2.030135088326983,11073,2887
