session,group,bursts_per_rec,minutes_to_auc09
sweep_c40_seed11,c40,1.075,17.99
sweep_c40_seed12,c40,0.025,22.49
sweep_c40_seed13,c40,0.175,19.23
sweep_c40_seed14,c40,7.89,45.29
sweep_c40_seed15,c40,0.94,19.14
sweep_c40_seed16,c40,3.845,26.82
sweep_c40_seed17,c40,6.16,26.1
sweep_c40_seed18,c40,5.26,18.97
sweep_c40_seed19,c40,7.77,38.47
sweep_c40_seed20,c40,4.485,24.15
sweep_c50_seed01,c50,1.5,16.51
sweep_c50_seed02,c50,0.37,19.91
sweep_c50_seed03,c50,6.655,27.27
sweep_c50_seed04,c50,6.0,24.44
sweep_c50_seed05,c50,3.98,22.73
sweep_c50_seed06,c50,3.085,19.25
sweep_c50_seed07,c50,6.305,28.07
sweep_c50_seed08,c50,4.775,20.98
sweep_c50_seed09,c50,0.035,20.88
sweep_c50_seed10,c50,4.47,18.74
