session,group,bursts_per_rec,jaccard_topk,spearman_topk,k_true_edges
sweep_c40_seed11,c40,1.075,0.6557159134067604,0.813985572761023,8719
sweep_c40_seed12,c40,0.025,0.6672440142638818,0.8495368206206497,8182
sweep_c40_seed13,c40,0.175,0.6844132088187157,0.8470993211008961,8748
sweep_c40_seed14,c40,7.89,0.44412158110788247,0.5133335087708987,15655
sweep_c40_seed15,c40,0.94,0.6512012012012012,0.8441609219499642,10997
sweep_c40_seed16,c40,3.845,0.5811158798283261,0.7490285102628884,11052
sweep_c40_seed17,c40,6.16,0.5767167381974249,0.7374213285122322,14695
sweep_c40_seed18,c40,5.26,0.6118130613487593,0.7711755011471068,10588
sweep_c40_seed19,c40,7.77,0.49241410084783577,0.5827306689113185,13378
sweep_c40_seed20,c40,4.485,0.5636011616650533,0.727561212137582,12114
sweep_c50_seed01,c50,1.5,0.6433097508458936,0.8240027902778023,13356
sweep_c50_seed02,c50,0.37,0.6414708886618999,0.8165703460127703,9642
sweep_c50_seed03,c50,6.655,0.5172378092970287,0.6443585859452552,14655
sweep_c50_seed04,c50,6.0,0.5415303430079156,0.6605834285402935,14606
sweep_c50_seed05,c50,3.98,0.5487075003183497,0.6866742613930856,12162
sweep_c50_seed06,c50,3.085,0.5956119371945513,0.7667529894997481,15345
sweep_c50_seed07,c50,6.305,0.5373603520820235,0.6827459200426006,15894
sweep_c50_seed08,c50,4.775,0.5742541066040898,0.733218211966112,14088
sweep_c50_seed09,c50,0.035,0.6565524028210595,0.8381231142749883,10100
sweep_c50_seed10,c50,4.47,0.5997058463046943,0.7687403077568842,13052
