session,group,state,n_neurons,n_true,tp,fp,fn,precision,recall,f1
sweep_c40_seed11,c40,normal,645,8719,7036,1562,1683,0.8183298441498023,0.8069732767519211,0.8126118842755673
sweep_c40_seed11,c40,seizure,645,8719,7763,15375,956,0.3355086870083845,0.890354398440188,0.48736541419468243
sweep_c40_seed12,c40,normal,629,8182,6896,2542,1286,0.7306632761178216,0.8428257149841115,0.7827468785471056
sweep_c40_seed12,c40,seizure,629,8182,7712,12038,470,0.3904810126582278,0.9425568320703984,0.5521981956179293
sweep_c40_seed13,c40,normal,673,8748,7307,1569,1441,0.823231185218567,0.8352766346593508,0.8292101679527918
sweep_c40_seed13,c40,seizure,673,8748,8027,15816,721,0.3366606551189028,0.9175811614083219,0.4925899788285109
sweep_c40_seed14,c40,normal,918,15655,12829,12249,2826,0.5115639205678284,0.8194825934206323,0.629906955048732
sweep_c40_seed14,c40,seizure,918,15655,12474,31321,3181,0.2848270350496632,0.7968061322261258,0.4196467619848613
sweep_c40_seed15,c40,normal,748,10997,9532,2254,1465,0.8087561513660275,0.8667818495953442,0.8367642540490716
sweep_c40_seed15,c40,seizure,748,10997,9569,24543,1428,0.2805171200750469,0.8701464035646085,0.4242612339001086
sweep_c40_seed16,c40,normal,771,11052,8871,1873,2181,0.8256701414743113,0.8026601520086862,0.8140025692787668
sweep_c40_seed16,c40,seizure,771,11052,9811,14945,1241,0.39630796574567784,0.8877126311979732,0.5479781054512959
sweep_c40_seed17,c40,normal,894,14695,12945,4975,1750,0.7223772321428571,0.8809118747873427,0.7938065307373907
sweep_c40_seed17,c40,seizure,894,14695,11701,31388,2994,0.271554224976212,0.7962572303504594,0.4049910009691264
sweep_c40_seed18,c40,normal,732,10588,9021,3018,1567,0.7493147271368054,0.8520022667170382,0.7973659786980157
sweep_c40_seed18,c40,seizure,732,10588,8910,22479,1678,0.2838574022746822,0.8415187004155648,0.42451818853181505
sweep_c40_seed19,c40,normal,831,13378,11148,8719,2230,0.5611315246388483,0.8333084168037076,0.6706572416904798
sweep_c40_seed19,c40,seizure,831,13378,11232,24164,2146,0.3173239914114589,0.8395873822693976,0.46057325624308026
sweep_c40_seed20,c40,normal,811,12114,9797,2510,2317,0.7960510278703177,0.8087336965494469,0.8023422464272553
sweep_c40_seed20,c40,seizure,811,12114,10254,23134,1860,0.3071163292200791,0.846458642892521,0.45070546349611007
sweep_c50_seed01,c50,normal,926,13356,11352,2078,2004,0.8452717795979151,0.8499550763701708,0.8476069588591055
sweep_c50_seed01,c50,seizure,926,13356,11437,31164,1919,0.26846787634093094,0.8563192572626535,0.4087781689511589
sweep_c50_seed02,c50,normal,758,9642,7742,1418,1900,0.8451965065502184,0.8029454470026965,0.8235294117647058
sweep_c50_seed02,c50,seizure,758,9642,8850,13714,792,0.39221769189859956,0.9178593652769135,0.5495870334720239
sweep_c50_seed03,c50,normal,957,14655,12334,5933,2321,0.6752066568128319,0.8416240191061072,0.7492861916043982
sweep_c50_seed03,c50,seizure,957,14655,12504,27296,2151,0.31417085427135677,0.8532241555783009,0.45924157561289136
sweep_c50_seed04,c50,normal,970,14606,12248,5821,2358,0.6778460346449721,0.8385594960974941,0.7496863045141545
sweep_c50_seed04,c50,seizure,970,14606,12575,27869,2031,0.31092374641479575,0.8609475557989867,0.4568574023614895
sweep_c50_seed05,c50,normal,871,12162,9469,2936,2693,0.7633212414349053,0.7785726031902648,0.7708714942809459
sweep_c50_seed05,c50,seizure,871,12162,10897,19870,1265,0.3541781779178991,0.895987502055583,0.5076754641384613
sweep_c50_seed06,c50,normal,1009,15345,12549,3450,2796,0.7843615225951622,0.8177908113391984,0.8007274119448698
sweep_c50_seed06,c50,seizure,1009,15345,13283,38713,2062,0.25546195861220095,0.865623981753014,0.39449963618003897
sweep_c50_seed07,c50,normal,1010,15894,13486,5536,2408,0.7089685627168542,0.8484962879073864,0.7724825294993699
sweep_c50_seed07,c50,seizure,1010,15894,13007,29090,2887,0.30897688671401763,0.8183591292311564,0.44858684968357165
sweep_c50_seed08,c50,normal,941,14088,11623,3137,2465,0.7874661246612467,0.8250283929585462,0.8058097615085967
sweep_c50_seed08,c50,seizure,941,14088,12025,25288,2063,0.32227373837536516,0.8535633162975582,0.4678897297717943
sweep_c50_seed09,c50,normal,766,10100,8443,2711,1657,0.7569481800251031,0.8359405940594059,0.7944857438599793
sweep_c50_seed09,c50,seizure,766,10100,9484,15090,616,0.38593635549768046,0.939009900990099,0.5470381265501528
sweep_c50_seed10,c50,normal,887,13052,11073,2887,1979,0.7931948424068768,0.8483757278577996,0.8198578409595735
sweep_c50_seed10,c50,seizure,887,13052,10861,27694,2191,0.2817014654389833,0.8321330064357952,0.42091189179762434
